12																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
200																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
56	84	30	61	32	86	14	23	51	60	60	49	49	27	20	91	46	12	40	68	63	13	62	34	16	14	77	5	72	35	86	60	89	66	77	67	77	61	7	47	86	99	39	98	67	27	44	89	71	82	3	34	21	30	46	24	7	87	64	2	31	75	77	84	44	87	22	70	9	77	14	79	13	37	69	44	82	69	12	23	69	99	96	44	42	77	72	43	94	19	22	92	71	56	100	90	72	33	33	31	51	68	5	92	19	26	74	93	88	82	44	3	21	86	8	78	7	50	3	42	67	55	9	71	32	72	89	83	29	23	77	81	15	24	28	74	29	76	99	86	22	61	38	100	89	41	71	13	38	23	58	6	19	69	17	77	30	5	21	24	28	39	14	81	64	32	97	67	66	36	89	98	20	93	68	29	24	46	52	66	60	48	45	77	32	90	31	51	68	85	25	73	41	65	47	4	27	77	19	19																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
2141200	2244889	1479013	1479901	1909519	1843254	1578148	1655721	1552478	1444604	1899775	1777909																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
580.86026	311.33178	205.24892	193.3667	574.01502	699.92587	242.95148	569.36574	784.7764	500.01972	535.3579	145.0959																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
383.95585	723.21409	204.15479	784.67785	656.56817	175.72214	875.44517	712.7038	1051.70482	1068.45726	447.10577	815.91517																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
428.22813	92.93453	862.03673	346.35192	665.37079	609.50036	417.59953	308.31938	623.73408	788.98645	920.80243	741.14427																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
894.87107	910.34642	709.40321	1105.91811	290.92384	660.11746	602.11133	819.85686	828.49151	497.01596	189.84465	344.43861																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
875.44517	712.7038	1051.70482	1068.45726	447.10577	815.91517	580.86026	311.33178	205.24892	193.3667	574.01502	699.92587																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
